src_slug,dst_slug,type,strength,rationale,origin,cross_course
accuracy,baseline,prerequisite,0.8,"a baseline is a score, so the metric comes first",extracted,0
accuracy,holistic-evaluation,prerequisite,0.8,the holistic view starts from single metrics,extracted,0
antiderivative,indefinite-integral,prerequisite,0.95,the indefinite integral is the family of antiderivatives,extracted,0
antiderivative,newton-leibniz-formula,prerequisite,0.95,the formula connects the two integrals,extracted,0
artificial-neuron,feedforward-network,prerequisite,0.95,a network is built from neurons,extracted,0
averaging-and-voting,stacking,prerequisite,0.8,stacking learns the combination instead of fixing it,extracted,0
backpropagation,training-loop,prerequisite,0.95,the loop applies the gradients backprop computes,extracted,0
bagging,random-forest,prerequisite,0.95,a forest is bagged trees,extracted,0
bayes-rule,posterior-probability,prerequisite,0.95,the rule computes the posterior,extracted,0
big-o-notation,little-o-notation,prerequisite,0.85,little-o is introduced against big-O in the same lecture,extracted,0
cardinality-of-finite-set,addition-rule,prerequisite,0.85,the rule counts a disjoint union,extracted,0
cartesian-product,multiplication-rule,prerequisite,0.9,the rule counts the product set,extracted,0
cauchy-mean-value-theorem,lhopitals-rule,prerequisite,0.85,the rule is proved from Cauchy's theorem,extracted,0
classification,accuracy,prerequisite,0.9,accuracy scores a classifier,extracted,0
classification,confusion-matrix,prerequisite,0.9,the matrix tabulates classifier outcomes,extracted,0
coefficient-matrix,elementary-row-operations,prerequisite,0.9,row operations act on the matrix of the system,extracted,0
combination,combinatorial-probability,prerequisite,0.9,counting favourable cases uses combinatorics,extracted,0
conditional-probability,bayes-rule,prerequisite,0.95,the rule inverts a conditional probability,extracted,0
conditional-probability,classification,prerequisite,0.8,a classifier estimates the class probability given the features,extracted,1
conditional-probability,independent-events,prerequisite,0.9,independence is defined through conditioning,extracted,0
conditional-probability,total-probability-law,prerequisite,0.95,the law sums conditional probabilities,extracted,0
confusion-matrix,precision,prerequisite,0.95,precision is read off the matrix,extracted,0
confusion-matrix,recall,prerequisite,0.95,recall is read off the matrix,extracted,0
confusion-matrix,roc-auc,prerequisite,0.85,the curve is traced by moving the threshold,extracted,0
continuity,differentiable-function,prerequisite,0.8,differentiability is the stronger condition,extracted,0
continuity,intermediate-value-theorem,prerequisite,0.95,the hypothesis of the theorem,extracted,0
continuity,weierstrass-theorem,prerequisite,0.95,the hypothesis of the theorem,extracted,0
convergence-of-series,convergence-tests,prerequisite,0.9,the tests decide convergence,extracted,0
