slug,name,kind,difficulty,domain,definition,aliases,courses,units,n_units,n_courses,degree,occurrence_count,files
accuracy,Accuracy,metric,2,machine-learning,The share of predictions that are correct; misleading when classes are imbalanced.,,ML,ML-M6,1,1,5,1,source/Syllabus_Machine_Learning.pdf
addition-rule,Addition Rule,principle,2,probability,"When alternatives are mutually exclusive, the number of outcomes is the sum of the counts.",,PROB,PROB-P06,1,1,1,1,source/Syllabus_Probability_essentials.pdf
antiderivative,Antiderivative,definition,3,calculus,A function whose derivative is the given function; differentiation run backwards.,primitive function,CALC,CALC-L10,1,1,3,2,source/Syllabus_Calculus.pdf
applications-of-definite-integral,Applications of the Definite Integral,method,3,calculus,"Using integration to compute areas, volumes, lengths and accumulated quantities.",,CALC,CALC-L13,1,1,1,1,source/Syllabus_Calculus.pdf
artificial-neuron,Artificial Neuron,definition,3,machine-learning,A unit computing a weighted sum of inputs followed by a non-linear activation.,,ML,ML-M3,1,1,3,1,source/Syllabus_Machine_Learning.pdf
averaging-and-voting,Averaging and Majority Vote,method,3,machine-learning,"The simplest combination rules: average the predicted numbers, or take the most frequent predicted class.",basic averaging and majority vote,ML,ML-M5,1,1,3,1,source/Syllabus_Machine_Learning.pdf
backpropagation,Backpropagation,method,4,machine-learning,Computing the gradient of the loss with respect to every weight by applying the chain rule backwards through the layers.,backprop,ML,ML-M3,1,1,5,1,source/Syllabus_Machine_Learning.pdf
bagging,Bagging,method,4,machine-learning,Training each member on a bootstrap resample to decorrelate their errors and cut variance.,bagging ensemble,ML,ML-M5,1,1,4,1,source/Syllabus_Machine_Learning.pdf
baseline,Baseline,principle,2,machine-learning,The trivial predictor any real model must beat before its score means anything.,baselines,ML,ML-M6,1,1,3,1,source/Syllabus_Machine_Learning.pdf
bayes-rule,Bayes' Rule,principle,4,probability,"The formula inverting a conditional probability, turning likelihood and prior into posterior.",Bayes theorem,PROB,PROB-P13,1,1,4,2,source/Syllabus_Probability_essentials.pdf
big-o-notation,Big-O Notation,definition,3,calculus,"A notation bounding a function's growth from above up to a constant factor, used to compare rates of change.",Big-O,CALC,CALC-L03,1,1,3,1,source/Syllabus_Calculus.pdf
boosting,Adaptive Boosting,method,5,machine-learning,"Fitting members in sequence, each concentrating on the examples its predecessors got wrong.",AdaBoost,ML,ML-M5,1,1,2,1,source/Syllabus_Machine_Learning.pdf
cardinality-of-finite-set,The Number of Elements in a Finite Set,principle,2,probability,"Counting a finite set, including the inclusion–exclusion correction for overlapping parts.",cardinality|inclusion-exclusion,PROB,PROB-P05,1,1,3,1,source/Syllabus_Probability_essentials.pdf
cartesian-product,Cartesian Product,definition,2,probability,"The set of all ordered pairs drawn from two sets, the formal model of independent choices.",,PROB,PROB-P06,1,1,3,2,source/Syllabus_Probability_essentials.pdf
cauchy-mean-value-theorem,Cauchy Mean Value Theorem,principle,4,calculus,"A two-function generalisation of the mean value theorem, the basis for L'Hôpital's rule.",,CALC,CALC-L06,1,1,2,1,source/Syllabus_Calculus.pdf
classification,Classification,method,2,machine-learning,Supervised prediction of a discrete class label.,,ML,ML-M1,1,1,8,1,source/Syllabus_Machine_Learning.pdf
coefficient-matrix,Matrix of a System of Linear Equations,definition,2,linear-algebra,"The matrix that holds the coefficients of an SLE, optionally augmented with the right-hand side column, so that the system can be manipulated as a single object instead of as separate equations.",augmented matrix|matrix of SLE,LA,LA-M1U2|LA-M2U2,2,1,3,3,source/Syllabus_Linear_Algebra.pdf
combination,Combination,definition,3,probability,A selection of objects where order does not matter; the binomial coefficient counts them.,binomial coefficient|combinations,PROB,PROB-P07,1,1,2,1,source/Syllabus_Probability_essentials.pdf
combinatorial-probability,Combinatorics in Probability Problems,method,3,probability,Computing probabilities of equally likely outcomes by counting favourable and total cases.,,PROB,PROB-P10,1,1,3,1,source/Syllabus_Probability_essentials.pdf
conditional-probability,Conditional Probability,definition,3,probability,"The probability of an event given that another has occurred, obtained by restricting the event space.",,PROB,PROB-P11,1,1,5,2,source/Syllabus_Probability_essentials.pdf
