concept_slug,unit_id,rel_path,role,confidence,quote
sequence,CALC-L01,source/Syllabus_Calculus.pdf,introduced,0.9,Sequences. Examples. Limit of sequence. Properties of convergent sequences. Number e
limit-of-sequence,CALC-L01,source/Syllabus_Calculus.pdf,introduced,0.9,Sequences. Examples. Limit of sequence. Properties of convergent sequences. Number e
convergent-sequence,CALC-L01,source/Syllabus_Calculus.pdf,introduced,0.9,Sequences. Examples. Limit of sequence. Properties of convergent sequences. Number e
number-e,CALC-L01,source/Syllabus_Calculus.pdf,introduced,0.9,Sequences. Examples. Limit of sequence. Properties of convergent sequences. Number e
limit-of-function,CALC-L02,source/Syllabus_Calculus.pdf,introduced,0.9,Limit of a function at a point. Cauchy (ε–δ) definition and Heine (sequence) definition. Properties of limits. One-sided
epsilon-delta-definition,CALC-L02,source/Syllabus_Calculus.pdf,introduced,0.9,Limit of a function at a point. Cauchy (ε–δ) definition and Heine (sequence) definition. Properties of limits. One-sided
heine-definition,CALC-L02,source/Syllabus_Calculus.pdf,introduced,0.9,Limit of a function at a point. Cauchy (ε–δ) definition and Heine (sequence) definition. Properties of limits. One-sided
one-sided-limit,CALC-L02,source/Syllabus_Calculus.pdf,introduced,0.9,Limit of a function at a point. Cauchy (ε–δ) definition and Heine (sequence) definition. Properties of limits. One-sided
big-o-notation,CALC-L03,source/Syllabus_Calculus.pdf,introduced,0.9,Big-O and little-o notation. Special limits
little-o-notation,CALC-L03,source/Syllabus_Calculus.pdf,introduced,0.9,Big-O and little-o notation. Special limits
special-limits,CALC-L03,source/Syllabus_Calculus.pdf,introduced,0.9,Big-O and little-o notation. Special limits
continuity,CALC-L04,source/Syllabus_Calculus.pdf,introduced,0.9,Properties of functions continuous on a closed interval.
intermediate-value-theorem,CALC-L04,source/Syllabus_Calculus.pdf,introduced,0.9,Cauchy’s intermediate value theorem. Weierstrass’s theorem.
weierstrass-theorem,CALC-L04,source/Syllabus_Calculus.pdf,introduced,0.9,Cauchy’s intermediate value theorem. Weierstrass’s theorem.
derivative,CALC-L05,source/Syllabus_Calculus.pdf,introduced,0.9,Definition of the derivative. Motivation. Differentiation rules. Properties.
derivative,CALC-L05,source/Syllabus_Calculus.pdf,defined,0.9,Topic 2. Derivatives
differentiation-rules,CALC-L05,source/Syllabus_Calculus.pdf,introduced,0.9,Definition of the derivative. Motivation. Differentiation rules. Properties.
differentiable-function,CALC-L06,source/Syllabus_Calculus.pdf,introduced,0.9,"Differentiable functions. Their properties. The theorems of Rolle, Lagrange, and Cauchy."
rolles-theorem,CALC-L06,source/Syllabus_Calculus.pdf,introduced,0.9,"Differentiable functions. Their properties. The theorems of Rolle, Lagrange, and Cauchy."
lagrange-mean-value-theorem,CALC-L06,source/Syllabus_Calculus.pdf,introduced,0.9,"Differentiable functions. Their properties. The theorems of Rolle, Lagrange, and Cauchy."
cauchy-mean-value-theorem,CALC-L06,source/Syllabus_Calculus.pdf,introduced,0.9,"Differentiable functions. Their properties. The theorems of Rolle, Lagrange, and Cauchy."
differential,CALC-L07,source/Syllabus_Calculus.pdf,introduced,0.9,Differential of a function. Higher-order derivatives.
higher-order-derivative,CALC-L07,source/Syllabus_Calculus.pdf,introduced,0.9,Differential of a function. Higher-order derivatives.
taylors-formula,CALC-L08,source/Syllabus_Calculus.pdf,introduced,0.9,Taylor’s formula. L’Hôpital’s rule.
lhopitals-rule,CALC-L08,source/Syllabus_Calculus.pdf,introduced,0.9,Taylor’s formula. L’Hôpital’s rule.
convexity,CALC-L09,source/Syllabus_Calculus.pdf,introduced,0.9,Convexity. The second derivative test. Graphing functions.
second-derivative-test,CALC-L09,source/Syllabus_Calculus.pdf,introduced,0.9,Convexity. The second derivative test. Graphing functions.
function-graphing,CALC-L09,source/Syllabus_Calculus.pdf,introduced,0.9,Convexity. The second derivative test. Graphing functions.
antiderivative,CALC-L10,source/Syllabus_Calculus.pdf,introduced,0.9,Antiderivative and indefinite integral. Substitution.
antiderivative,CALC-L10,source/Syllabus_Calculus.pdf,defined,0.9,Topic 3. Integral
indefinite-integral,CALC-L10,source/Syllabus_Calculus.pdf,introduced,0.9,Antiderivative and indefinite integral. Substitution.
integration-by-substitution,CALC-L10,source/Syllabus_Calculus.pdf,introduced,0.9,Antiderivative and indefinite integral. Substitution.
integration-by-parts,CALC-L11,source/Syllabus_Calculus.pdf,introduced,0.9,Integrating by parts
definite-integral,CALC-L12,source/Syllabus_Calculus.pdf,introduced,0.9,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton–Leibniz formula.
mean-value-theorem-for-integrals,CALC-L12,source/Syllabus_Calculus.pdf,introduced,0.9,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton–Leibniz formula.
newton-leibniz-formula,CALC-L12,source/Syllabus_Calculus.pdf,introduced,0.9,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton–Leibniz formula.
applications-of-definite-integral,CALC-L13,source/Syllabus_Calculus.pdf,introduced,0.9,Formulas of substitution and integration by parts. Some applications of the definite integral. Improper integrals.
improper-integral,CALC-L13,source/Syllabus_Calculus.pdf,introduced,0.9,Formulas of substitution and integration by parts. Some applications of the definite integral. Improper integrals.
series,CALC-L14,source/Syllabus_Calculus.pdf,introduced,0.9,Series. Convergence of series. Examples. Tests for convergence of numerical series.
series,CALC-L14,source/Syllabus_Calculus.pdf,defined,0.9,Topic 4. Series
convergence-of-series,CALC-L14,source/Syllabus_Calculus.pdf,introduced,0.9,Series. Convergence of series. Examples. Tests for convergence of numerical series.
convergence-tests,CALC-L14,source/Syllabus_Calculus.pdf,introduced,0.9,Series. Convergence of series. Examples. Tests for convergence of numerical series.
power-series,CALC-L15,source/Syllabus_Calculus.pdf,introduced,0.9,Power series. Taylor series. Maclaurin series. Domains of convergence.
taylor-series,CALC-L15,source/Syllabus_Calculus.pdf,introduced,0.9,Power series. Taylor series. Maclaurin series. Domains of convergence.
maclaurin-series,CALC-L15,source/Syllabus_Calculus.pdf,introduced,0.9,Power series. Taylor series. Maclaurin series. Domains of convergence.
domain-of-convergence,CALC-L15,source/Syllabus_Calculus.pdf,introduced,0.9,Power series. Taylor series. Maclaurin series. Domains of convergence.
logical-proposition,PROB-P01,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Preparation lecture materials 1. Logical propositions, true/false propositions."
logical-operations,PROB-P02,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Preparation lecture materials 2. Logical operations, truth tables."
truth-table,PROB-P02,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Preparation lecture materials 2. Logical operations, truth tables."
negation-of-claim,PROB-P03,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 3. Building negations to claims.
set,PROB-P04,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Sets and subsets, set operations, Euler"
set,PROB-P04,source/Syllabus_Probability_essentials.pdf,defined,0.9,Block 1. Basics of logic and set theory
subset,PROB-P04,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Sets and subsets, set operations, Euler"
set-operations,PROB-P04,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Sets and subsets, set operations, Euler"
euler-diagram,PROB-P04,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Sets and subsets, set operations, Euler"
cardinality-of-finite-set,PROB-P05,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 5. The Number of Elements in a Finite Set.
cartesian-product,PROB-P06,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Cartesian product, multiplication and addition"
cartesian-product,PROB-P06,source/Syllabus_Probability_essentials.pdf,defined,0.9,Block 2. Set theory and combinatorics
multiplication-rule,PROB-P06,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Cartesian product, multiplication and addition"
addition-rule,PROB-P06,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Cartesian product, multiplication and addition"
permutation,PROB-P07,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 7. Permutations and Combinations.
combination,PROB-P07,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 7. Permutations and Combinations.
event-space,PROB-P08,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Preparation lecture materials 8. Event space, events."
event-space,PROB-P08,source/Syllabus_Probability_essentials.pdf,defined,0.9,"Block 3. Probability, rules of probability"
event,PROB-P08,source/Syllabus_Probability_essentials.pdf,introduced,0.9,"Preparation lecture materials 8. Event space, events."
probability,PROB-P09,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 9. Probability definition. Rules of probability.
probability-rules,PROB-P09,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 9. Probability definition. Rules of probability.
combinatorial-probability,PROB-P10,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Usage of combinatorics in probability word
conditional-probability,PROB-P11,source/Syllabus_Probability_essentials.pdf,introduced,0.9,Preparation lecture materials 11. Conditional probability and independent events.
conditional-probability,PROB-P11,source/Syllabus_Probability_essentials.pdf,defined,0.9,"Block 4. Conditional probability, independent events, Bayes’ rule"
